Artist,Listeners,Daily Trend,Peak,PkListeners
Royal Philharmonic Orchestra,4708971,"6,580",1941,"5,029,952"
Amy Macdonald,4708703,"15,490",2143,"4,708,703"
Tippu,4708079,"-4,018",2229,"4,712,097"
Bullet For My Valentine,4707545,"-7,150",2072,"4,879,133"
That Mexican OT,4706743,"34,150",2238,"4,706,743"
Fernando & Sorocaba,4706476,"23,145",2239,"4,706,476"
Kenny Beats,4704609,"14,817",1861,"4,860,726"
Ken-Y,4701771,"-23,289",1863,"5,308,388"
James TW,4701062,"-15,338",1526,"5,724,452"
Chimbala,4700266,"-21,538",1727,"5,181,944"
Richard Marx,4698322,"-11,541",2092,"4,747,951"
Los Invasores De Nuevo LeÃ³n,4696029,"-1,410",1922,"5,183,205"
Noah,4694972,"20,827",2246,"4,694,972"
The Greatest Showman Ensemble,4694532,"-5,822",1927,"4,749,155"
Roberta Flack,4693477,"25,526",2099,"4,843,245"
Chris Janson,4692335,"-39,631",1952,"5,143,719"
Pav Dharia,4691457,"10,300",1854,"5,195,758"
The Backseat Lovers,4690405,"-3,951",2057,"4,808,251"
putri dahlia,4688654,"-45,046",1559,"5,903,604"
Stacey Ryan,4688479,"-29,180",984,"7,932,194"
MC Caverinha,4686731,"-50,995",1335,"6,957,816"
Hugh Jackman,4686557,"7,222",1859,"4,976,809"
Iggy Pop,4686033,"6,438",1752,"5,157,583"
Caio Luccas,4684289,"-5,415",2144,"4,741,031"
Janieck,4684289,"15,909",2255,"4,684,289"
Grupo Mojado,4683854,"-24,314",2068,"4,757,530"
Gigamesh,4683505,"-1,568",2249,"4,685,073"
Mano,4681071,"6,581",2260,"4,681,071"
Rupert Holmes,4680810,"-1,651",1950,"5,024,394"
Manni Sandhu,4680723,"-2,521",2178,"4,683,244"
Imran Khan,4678295,"4,581",1911,"5,189,110"
Michel TelÃ³,4676564,"-10,953",1977,"5,119,957"
Mijares,4675872,"-13,220",1902,"4,779,908"
Lil Mabu,4675181,"-11,987",1043,"8,404,295"
Jon Batiste,4674490,"2,413",1709,"5,352,576"
Kaash Paige,4672507,"13,778",1802,"4,984,901"
Erik Satie,4672421,"14,033",1914,"4,823,660"
Switch Disco,4669668,"-6,809",1888,"5,250,840"
Jaden,4669410,"-9,752",1588,"6,077,159"
MUPP,4664783,"6,395",1427,"5,957,353"
Joel De La P,4661794,"-14,597",1488,"6,390,957"
Carly Pearce,4660090,"-22,023",2257,"4,682,113"
Roisee,4659920,"-70,497",768,"10,515,606"
SCH,4655927,"-14,171",2029,"4,973,934"
Naresh Kamath,4655757,"-42,830",2179,"4,782,679"
Barry White,4653640,"11,361",2122,"4,653,640"
OBOY,4651526,"2,951",2142,"4,652,456"
Leon James,4647229,"5,536",2100,"4,678,382"
The Magician,4645212,"-5,217",2047,"4,898,295"
BjÃ¶rn Skifs,4641777,"-18,483",1809,"5,334,470"
Prabh Singh,4641693,"63,299",2284,"4,641,693"
S.P. Charan,4640105,"7,325",2148,"4,640,105"
Jawsh 685,4639354,-250,1702,"5,273,265"
Paresh Kamath,4638603,"-42,468",2190,"4,765,972"
R. Kelly,4637769,"-1,835",1983,"4,760,711"
Tesher,4637769,"-21,385",1936,"5,197,888"
Morray,4637686,584,1797,"5,098,530"
Rixton,4634524,"10,499",1796,"4,912,819"
Conrad Sewell,4628807,"-12,468",2127,"4,750,546"
Tom Misch,4627651,"18,166",2293,"4,627,651"
Thin Lizzy,4624354,"-1,482",1943,"5,017,189"
Zahrah S Khan,4624190,"-2,058",1844,"5,082,233"
Anson Seabra,4621971,"8,666",1598,"5,523,997"
Kid Ink,4620248,"-11,538",1620,"5,422,800"
cakal,4620002,-820,2176,"4,730,599"
Nena,4619183,"-6,488",1902,"5,114,296"
NEIMY,4618774,"-4,593",2223,"4,695,676"
Guilherme & Santiago,4613712,"8,194",1850,"5,207,888"
Hadise,4613468,"-13,275",2234,"4,684,463"
